status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,
Satisfactory,validation-387,Problematic handling of token price updates,No way to identify proposals in an unique way may lead to wrong votes,inflated severity,Edge case,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L179,,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L142,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L142,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L179",validation-167,"DUPE-LockManager-003,DUPE-LockManager-026",
Satisfactory,validation-322,approveUSDPrice/disapproveUSDPrice function param is price rather than proposal id,No way to identify proposals in an unique way may lead to wrong votes.,inflated severity,,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L179,,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L233,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L225","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L225,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L233",validation-167,"DUPE-LockManager-003,DUPE-LockManager-010",
Satisfactory,validation-374,DOS in Price Updates Results in Stale Price Reporting,Price proposals do not have expiration. I would say this is QA.,,Overinflated severity as it implies malfunctioning of price feeds. Worth exploring,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L142,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L157-L158,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L202-L203,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L157-L158,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L142,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L202-L203",validation-179,"DUPE-LockManager-003,DUPE-LockManager-026,DUPE-LockManager-026",
Satisfactory,validation-104,Stale Proposal Issue in USD Price Update Proposal Contract,Price proposals do not have expiration. I would say this is QA.,,"Overinflated severity (edge case, but worth checking)",https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L142,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L178,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L179,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L177-L179,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L142",validation-167,"DUPE-LockManager-003,DUPE-LockManager-026",
Satisfactory,validation-344,Rebasing rewards will get stuck on the contract forever or users may be unable to withdraw any tokens if rebasing tokens are deposited.,Rebase tokens,,"USDB/WETH are configured as CLAIMABLE and can be claimed by admins. Other rebasing tokens listed as a ""Mistake"" by the sponsor in the Readme",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L376,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L423",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L376,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L423",validation-10,"DUPE-LockManager-011,DUPE-LockManager-012",
Satisfactory,validation-589,LockManager does not handle Rebasing tokens properly,Rebase tokens,,Disregarded by sponsor,,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L376,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L423",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L376,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L423",validation-10,"DUPE-LockManager-011,DUPE-LockManager-012",
Satisfactory,validation-365,The contract does not support rebasing tokens,Rebase tokens,,"Other rebasing tokens listed as a ""Mistake"" by the sponsor in the Readme",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L376,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L423",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L376,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L423",validation-10,"DUPE-LockManager-011,DUPE-LockManager-012",
Satisfactory,validation-530,value of lockedToken.remainder is not reduced to zero even when the user has withdrawn all the tokens he locked.,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L433","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L433",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-362,"Incorrect `remainder` calculation on repeated Lock/Unlock allows Munchanble without lock fund (2 for the price of one, or nft by 1 wei fund lock)",Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L434","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L434",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-485,Players can steal funds from the `lockManager` preventing other users form unlocking the full amount of their withdrawals,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L435","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L435",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-364,A malicious user can receive nft for free or at discount,Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L438","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L438",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
Satisfactory,validation-616,"The unlock method does not reset the 'remainder' variable, allowing NFTs to be minted with less locked funds.",Remainder is not cleared after unlock,,"unlock() doesn't subtract remainder, which can be reused to mint at a discount price","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379",,"https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L439","https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L344-L380,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L363,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L379,https://github.com/code-423n4/2024-05-munchables/blob/main/src/managers/LockManager.sol#L416-L439",findings-40,"DUPE-LockManager-004,DUPE-LockManager-006,DUPE-LockManager-006,DUPE-LockManager-006",
